Name,Full_Name,PriCompany,Job_Code,Tags
454-01_Midway Business Park,Midway Business Park,Vaughn & Melton Inc.,454-01,"Planning, 3D"
456-01_Surrey Streetcar,Surrey Streetcar,,456-01,"Streetcar, 3D"
457-01_Case #null,Case #null,,457-01,
458-01_Portland Eco-Districts,Portland Eco-Districts,Skanska,458-01,"Planning, City Model, 3D"
459-01_Panama 4th Crossing,Panama 4th Crossing,TYLIN International,459-01,
460-01_Longview-Kelso TSP,Longview-Kelso TSP,Parametrix,460-01,"Streetscape, 3D"
461-01_Capitol Auto Group,Capitol Auto Group,Mildren Design Group,461-01,"Advertising, 3D"
461-02_Capitol Auto Group Stills,Capitol Auto Group Stills,Mildren Design Group,461-02,"Advertising, 3D"
461-03_Capitol Auto Group,Capitol Auto Group,Mildren Design Group,461-03,"Advertising, 3D"
462-01_I-710 Gap,I-710 Gap,,462-01,
463-01_4th Plain BRT II,4th Plain BRT II,Parsons Brinckerhoff in the USA,463-01,"Bus Rapid Transit, Transit, 3D"
463-02_4th Plain BRT Animations,4th Plain BRT Animations,Parsons Brinckerhoff in the USA,463-02,"Bus Rapid Transit, Transit, 3D"
463-03_Fourth Plain High-Resolution Stills,Fourth Plain High-Resolution Stills,Parsons Brinckerhoff in the USA,463-03,"Bus Rapid Transit, Transit, 3D"
463-04_4th Plain BRT Update - The Vine,4th Plain BRT Update - The Vine,Parsons Brinckerhoff in the USA,463-04,"Bus Rapid Transit, Transit, 3D"
464-01_Dorm Stills and Animations,Dorm Stills and Animations,American Campus Communities Inc,464-01,"Residential, Architecture, 3D"
464-01_Villas on Rensch - Buffalo NY Animation,Villas on Rensch - Buffalo NY Animation,American Campus Communities Inc,464-01,"Residential, Architecture, 3D"
464-02_Dorm Animations Revisions,Dorm Animations Revisions,American Campus Communities Inc,464-02,"Residential, Architecture, 3D"
465-01_Railways,Railways,Autodesk,465-01,"High Speed Rail, Transit, 3D"
466-01_Jubail City Centre,Jubail City Centre,Wilbur Smith Associates,466-01,"City Model, Urban Design, 3D"
467-01_One World Virtual,One World Virtual,One World Virtual,467-01,"Website, 3D"
468-00_Yeon Building Revisions,Yeon Building Revisions,Sera Architects Inc.,468-00,"Commercial, Architecture, 3D"
468-01_Yeon Building,Yeon Building,Sera Architects Inc.,468-01,"Commercial, Architecture, 3D"
469-01_6th & Bench Bridge,6th & Bench Bridge,Morrison Maierle Inc.,469-01,"Bridges, 3D"
470-01_Battery-Operated Appliances,Battery-Operated Appliances,BioStudio Visual Communications Inc.,470-01,"Industrial Design, 3D"
471-00_Video Translation 10444,Video Translation 10444,Via Language,471-00,"Post Production, 3D"
471-01 Via Language,Via Language,Via Language,,"Post Production, 3D"
471-01_Via Intel 11561 E5 Energy Efficiency - Intel Node Manager,Via Intel 11561 E5 Energy Efficiency - Intel Node Manager,Via Language,471-01,"Post Production, 3D"
471-02_32993T11 What is vPro,32993T11 What is vPro,Via Language,471-02,"Post Production, 3D"
471-03_10351 Storage Release Candidate,10351 Storage Release Candidate,Via Language,471-03,"Post Production, 3D"
471-04_10521 Power Animations,10521 Power Animations,Via Language,471-04,"Post Production, 3D"
471-05_11086 Intel Workstation,11086 Intel Workstation,Via Language,471-05,"Post Production, 3D"
471-06_Job #33976T11 Data Instrumentation,Job #33976T11 Data Instrumentation,Via Language,471-06,"Post Production, 3D"
471-07_11482 Intel What is vPro RUS,11482 Intel What is vPro RUS,Via Language,471-07,"Post Production, 3D"
471-08_Intel #11445 PC Is Not Dead,Intel #11445 PC Is Not Dead,Via Language,471-08,"Post Production, 3D"
471-09_Via Intel 11560 E5 Performance Animation,Via Intel 11560 E5 Performance Animation,Via Language,471-09,"Post Production, 3D"
471-11_Via Intel 11562 E5 Integrated IO Animation,Via Intel 11562 E5 Integrated IO Animation,Via Language,471-11,"Post Production, 3D"
471-12_Via Intel 12459 vPro Security,Via Intel 12459 vPro Security,Via Language,471-12,"Post Production, 3D"
471-13_Via Intel 12460 What is vPro Technology,Via Intel 12460 What is vPro Technology,Via Language,471-13,"Post Production, 3D"
471-14_Via Intel 12639 3rd Gen vs 2nd Gen,Via Intel 12639 3rd Gen vs 2nd Gen,Via Language,471-14,"Post Production, 3D"
471-15_Via Intel 12764 Intel Hyperthreading 3rd Gen,Via Intel 12764 Intel Hyperthreading 3rd Gen,Via Language,471-15,"Post Production, 3D"
471-16_Via Intel 12767 Intel TurboBoost 3rd Gen,Via Intel 12767 Intel TurboBoost 3rd Gen,Via Language,471-16,"Post Production, 3D"
471-17_Via Cisco NBA TV Spot,Via Cisco NBA TV Spot,Via Language,471-17,"Post Production, 3D"
471-18_Via Intel Round Table Videos 38245T12,Via Intel Round Table Videos 38245T12,Via Language,471-18,"Post Production, 3D"
471-19_Via Puma Mobium 40163T13,Via Puma Mobium 40163T13,Via Language,471-19,"Post Production, 3D"
471-20_Mobile Security Translation Timecode,Mobile Security Translation Timecode,Via Language,471-20,"Post Production, 3D"
471-21_Via Intel 17368 Integrated IO,Via Intel 17368 Integrated IO,Via Language,471-21,"Post Production, 3D"
471-22_Via Intel 17370 Node Manager,Via Intel 17370 Node Manager,Via Language,471-22,"Post Production, 3D"
471-23_Via Intel 17371 Performance,Via Intel 17371 Performance,Via Language,471-23,"Post Production, 3D"
471-25_Via Intel 17403 Xeon E5 Overview,Via Intel 17403 Xeon E5 Overview,Via Language,471-25,"Post Production, 3D"
471-26_Via Intel 45014T13 Business Q4 Videos,Via Intel 45014T13 Business Q4 Videos,Via Language,471-26,"Post Production, 3D"
471-28_Via Intel 23674 HD Iris,Via Intel 23674 HD Iris,Via Language,471-28,"Post Production, 3D"
471-29_Via Intel IoTG,Via Intel IoTG,Via Language,471-29,"Post Production, 3D"
471-30_Via Intel 55098T15 Extreme Laptop Gaming,Via Intel 55098T15 Extreme Laptop Gaming,Via Language,471-30,"Post Production, 3D"
471-902_Via Intel 11560 E5 Performance Additional Languages,Via Intel 11560 E5 Performance Additional Languages,Via Language,471-902,"Post Production, 3D"
471-1001_Via Intel 11561 E5 Energy Efficiency - Intel Node Manager Japanese,Via Intel 11561 E5 Energy Efficiency - Intel Node Manager Japanese,Via Language,471-1001,"Post Production, 3D"
471-1402_Via Intel 12639 3rd Gen vs 2nd Gen - Korean,Via Intel 12639 3rd Gen vs 2nd Gen - Korean,Via Language,471-1402,"Post Production, 3D"
471-1403_Via Intel 3rd Gen vs 2nd Gen 12639 Arabic,Via Intel 3rd Gen vs 2nd Gen 12639 Arabic,Via Language,471-1403,"Post Production, 3D"
471-2102_Via Intel 17368 Integrated IO - Japanese,Via Intel 17368 Integrated IO - Japanese,Via Language,471-2102,"Post Production, 3D"
471-2202_Via Intel 17370 Node Manager Spanish LatAm,Via Intel 17370 Node Manager Spanish LatAm,Via Language,471-2202,"Post Production, 3D"
471-2203_Via Intel 17370 Node Manager Portuguese Brazil,Via Intel 17370 Node Manager Portuguese Brazil,Via Language,471-2203,"Post Production, 3D"
471-2302_Via Intel 17371 Performance Spanish LatAm,Via Intel 17371 Performance Spanish LatAm,Via Language,471-2302,"Post Production, 3D"
471-2303_Via Intel 17371 Performance Additional Languages,Via Intel 17371 Performance Additional Languages,Via Language,471-2303,"Post Production, 3D"
471-2304_Via Intel 17371 Performance Japanese,Via Intel 17371 Performance Japanese,Via Language,471-2304,"Post Production, 3D"
471-2305_Via Intel 17371 Performance German,Via Intel 17371 Performance German,Via Language,471-2305,"Post Production, 3D"
471-2401_Via Intel 17372 Security Spanish LatAm,Via Intel 17372 Security Spanish LatAm,Via Language,471-2401,"Post Production, 3D"
471-2402_Via Intel 17372 Security Portuguese Brazil,Via Intel 17372 Security Portuguese Brazil,Via Language,471-2402,"Post Production, 3D"
471-2403_Via Intel 17372 Security French (Canada),Via Intel 17372 Security French (Canada),Via Language,471-2403,"Post Production, 3D"
471-2404_Via Intel 17372 Security Japanese,Via Intel 17372 Security Japanese,Via Language,471-2404,"Post Production, 3D"
471-2502_Via Intel 17403 Xeon E5 Overview Portuguese,Via Intel 17403 Xeon E5 Overview Portuguese,Via Language,471-2502,"Post Production, 3D"
471-2503_Via Intel 17403 Xeon E5 Overview (Additional Languages),Via Intel 17403 Xeon E5 Overview (Additional Languages),Via Language,471-2503,"Post Production, 3D"
471-2504_Via Intel 17403 Xeon E5 Overview German,Via Intel 17403 Xeon E5 Overview German,Via Language,471-2504,"Post Production, 3D"
471-2602_Via Intel 45014T13 Business Q4 Videos Additional Languages,Via Intel 45014T13 Business Q4 Videos Additional Languages,Via Language,471-2602,"Post Production, 3D"
471-2603_Via Intel 45014T13 2 in 1 Education Video Additional Languages,Via Intel 45014T13 2 in 1 Education Video Additional Languages,Via Language,471-2603,"Post Production, 3D"
471-2701_Via Intel Q3 Performance,Via Intel Q3 Performance,Via Language,471-2701,"Post Production, 3D"
471-2802_Via Intel 23674 HD Iris 3D Text,Via Intel 23674 HD Iris 3D Text,Via Language,471-2802,"Post Production, 3D"
471-2803_Via Intel 23674 HD Iris Japanese,Via Intel 23674 HD Iris Japanese,Via Language,471-2803,"Post Production, 3D"
472-01_Northern Illinois University,Northern Illinois University,American Campus Communities Inc,472-01,"Residential, Architecture, 3D"
473-01_ASU West,ASU West,American Campus Communities Inc,473-01,"Residential, Architecture, 3D"
473-02_ASU Dining Hall Stills,ASU Dining Hall Stills,American Campus Communities Inc,473-02,"Residential, Architecture, 3D"
475-01_Livermore BART Bus Transfer Station,Livermore BART Bus Transfer Station,Bay Area Rapid Transit,475-01,"Commuter Rail, Transit, 3D"
476-01_Drexel University,Drexel University,American Campus Communities Inc,476-01,"Residential, Architecture, 3D"
476-02_Drexel University Additional (2),Drexel University Additional (2),American Campus Communities Inc,476-02,"Residential, Architecture, 3D"
476-03_Drexel Unit D Animation and Video,Drexel Unit D Animation and Video,American Campus Communities Inc,476-03,"Residential, Architecture, 3D"
476-04_476.04 Drexel Revisions,476.04 Drexel Revisions,American Campus Communities Inc,476-04,"Residential, Architecture, 3D"
477-01_University Edge Kent OH,University Edge Kent OH,American Campus Communities Inc,477-01,"Residential, Architecture, 3D"
477-02_University Edge Kent - New Unit,University Edge Kent - New Unit,American Campus Communities Inc,477-02,"Residential, Architecture, 3D"
479-01_SR 94/125 Bridge Move-In Animation,SR 94/125 Bridge Move-In Animation,TYLIN International,479-01,"Construction, 3D"
480-01_Salmon Creek Dam,Salmon Creek Dam,URC Ventures Inc.,480-01,"Visual FX, 3D"
480-01_Salmon Creek Point Cloud,Salmon Creek Point Cloud,URC Ventures Inc.,480-01,"Visual FX, 3D"
481-01_Smith and Nephew,Smith and Nephew,BioStudio Visual Communications Inc.,481-01,"Industrial Design, 3D"
482-01_Elephant Exhibit,Elephant Exhibit,Skanska,482-01,"Construction, 3D"
483-01_NikeTown 3D Modeling,NikeTown 3D Modeling,SET,483-01,"Interior, Retail, Interior, 3D"
485-01_MAR Revisions,MAR Revisions,Robert A.M. Stern Architects LLP,485-01,"Institutional, Architecture, 3D"
485-01_Museum of the American Revolution,Museum of the American Revolution,Robert A.M. Stern Architects LLP,485-01,"Institutional, Architecture, 3D"
485-02_MAR Revisions Round II,MAR Revisions Round II,Robert A.M. Stern Architects LLP,485-02,"Institutional, Architecture, 3D"
485-03_MAR Revisions Round II,MAR Revisions Round II,Robert A.M. Stern Architects LLP,485-03,"Institutional, Architecture, 3D"
485-04_MAR Revisions Round IV,MAR Revisions Round IV,Robert A.M. Stern Architects LLP,485-04,"Institutional, Architecture, 3D"
485-05_MAR Nighttime Views,MAR Nighttime Views,Robert A.M. Stern Architects LLP,485-05,"Institutional, Architecture, 3D"
485-06_MAR Revisions V,MAR Revisions V,Robert A.M. Stern Architects LLP,485-06,"Institutional, Architecture, 3D"
486-01_Callaway House,Callaway House,American Campus Communities Inc,486-01,"Residential, Architecture, 3D"
487-01_Rookie,Rookie,SET,487-01,"Retail, 3D"
489-01_Factory of the Future,Factory of the Future,Green Building Services,489-01,
490-01_PGE Smart Grid,PGE Smart Grid,North,490-01,
491-01_Mt Vernon Avenue,Mt Vernon Avenue,TYLIN International,491-01,"Highways, 3D"
492-01_UCF Quadrangle,UCF Quadrangle,American Campus Communities Inc,492-01,"Institutional, Architecture, 3D"
492-02_ACC Orlando Interiors,ACC Orlando Interiors,American Campus Communities Inc,492-02,"Institutional, Architecture, 3D"
493-01_3rd and Cedar,3rd and Cedar,Wood Partners,493-01,"Mixed, Architecture, 3D"
494-01_21 Mercer,21 Mercer,SET,494-01,"Retail, 3D"
495-01_Genesis Model 3D Animations,Genesis Model 3D Animations,Apex Biomedical,495-01,"Medical, Industrial Design, 3D"
496-01_Set Instructions,Set Instructions,SET,496-01,"Retail, 3D"
497-01_Goethals Bridge Animation,Goethals Bridge Animation,Dragados USA,497-01,"Bridges, 3D"
498-01_OSHU Building Masses,OSHU Building Masses,Oregon Health Sciences University,498-01,"City Model, Architecture, 3D"
498-01_South Waterfront Buildings - Revisions,South Waterfront Buildings - Revisions,Oregon Health Sciences University,498-01,"City Model, Architecture, 3D"
499-01_City Fly-Over,City Fly-Over,Sockeye,499-01,"Advertising, 3D"
500-01_ACC U Club Woodward,ACC U Club Woodward,American Campus Communities Inc,500-01,"Residential, Architecture, 3D"
501-01_ACC Copeland,ACC Copeland,American Campus Communities Inc,501-01,"Residential, Architecture, 3D"
502-01_ACC U Club Overton,ACC U Club Overton,American Campus Communities Inc,502-01,"Residential, Architecture, 3D"
503-01_Newtown Crossing,Newtown Crossing,American Campus Communities Inc,503-01,"Residential, Architecture, 3D"
504-01_College of Staten Island,College of Staten Island,American Campus Communities Inc,504-01,"Residential, Architecture, 3D"
504-02_College of Staten Island - Still Images,College of Staten Island - Still Images,American Campus Communities Inc,504-02,"Residential, Architecture, 3D"
505-01_Elon University,Elon University,Robert A.M. Stern Architects LLP,505-01,"Institutional, Architecture, 3D"
506-01_Koin Google Earth,Koin Google Earth,KOIN Local 6,506-01,"Visual FX, 3D"
507-01_WSU CleanTech,WSU CleanTech,Skanska,507-01,"Construction, 3D"
508-01_USC 3D Renderings,USC 3D Renderings,Robert A.M. Stern Architects LLP,508-01,"Institutional, Architecture, 3D"
509-01_Mary Bridge Hospital,Mary Bridge Hospital,,509-01,
510-01_Intel MSB Presentation,Intel MSB Presentation,Skanska,510-01,"Construction, 3D"
511-01_Elon Admissions Building,Elon Admissions Building,Robert A.M. Stern Architects LLP,511-01,"Institutional, Architecture, 3D"
512-01_BACtrack 3D Renders,BACtrack 3D Renders,COPIOUS,512-01,"Industrial Design, 3D"
513-01_MAR Design Update,MAR Design Update,Robert A.M. Stern Architects LLP,513-01,"Institutional, Architecture, 3D"
514-01_Bicycle Helmet Impact Animation,Bicycle Helmet Impact Animation,Apex Biomedical,514-01,"Industrial Design, 3D"
515-01_Zidell,Zidell,Zidell Realty Group,515-01,
516-01_West Eugene EMX,West Eugene EMX,Parsons Brinckerhoff in the USA,516-01,"Bus Rapid Transit, Transit, 3D"
517-01_Miami Dade BRT Animations,Miami Dade BRT Animations,Kimley-Horn & Associates Inc.,517-01,"Bus Rapid Transit, Transit, 3D"
518-01_Blue Heron Mill,Blue Heron Mill,Walker and Macy,518-01,"Landscape, 3D"
519-01_Portland Previz,Portland Previz,Electric Entertainment,519-01,"City Model, 3D"
520-01_Maryland Parkway Alternative Analysis,Maryland Parkway Alternative Analysis,Atkins North America Inc.,520-01,"Transit, 3D"
521-01_6th Street Bridge,6th Street Bridge,Skanska USA Civil West CA,521-01,"Bridges, Construction, 3D"
522-01_Omaha AA,Omaha AA,HDR,522-01,"Streetcar, Transit, 3D"
522-02_Omaha Streetcar Preliminary Design,Omaha Streetcar Preliminary Design,HDR,522-02,"Streetcar, 3D"
522-03_Omaha Streetcar,Omaha Streetcar,HDR,522-03,"Streetcar, 3D"
523-01_Hand Fracture,Hand Fracture,Apex Biomedical,523-01,"Medical, Industrial Design, 3D"
523-02_Wobbly Chicklet,Wobbly Chicklet,Apex Biomedical,523-02,"Medical, Industrial Design, 3D"
524-01_ODOT Variable Speed Animation,ODOT Variable Speed Animation,Gard Communications,524-01,"Highways, 3D"
525-01_Winona Bridge,Winona Bridge,TYLIN International,525-01,"Bridges, 3D"
526-01_LAX Roadway,LAX Roadway,Skanska,526-01,
527-01_Merwick Stanworth (Princeton),Merwick Stanworth (Princeton),American Campus Communities Inc,527-01,"Residential, Architecture, 3D"
528-01_Kosciuszko Bridge,Kosciuszko Bridge,TYLIN International,528-01,"Bridges, Construction, Bridges, 3D"
528-02_Kosciousko Bridge Revised Animation,Kosciousko Bridge Revised Animation,TYLIN International,528-02,"Bridges, Construction, 3D"
529-01_Jobdango City Model,Jobdango City Model,Unitan Creative,529-01,"Advertising, 3D"
530-01_Drexel Lancaster Update,Drexel Lancaster Update,American Campus Communities Inc,530-01,"Residential, Architecture, 3D"
530-01_Drexel Phase II,Drexel Phase II,American Campus Communities Inc,530-01,"Residential, Architecture, 3D"
531-01_MATEbox Tissue Bio-Reactor,MATEbox Tissue Bio-Reactor,Apex Biomedical,531-01,"Medical, Industrial Design, 3D"
532-01_UP Recreational Center,UP Recreational Center,Skanska,532-01,"Construction, 3D"
533-01_La Guardia,La Guardia,,533-01,
534-01_Columbus BRT,Columbus BRT,HDR,534-01,"Bus Rapid Transit, Transit, 3D"
534-02_Columbus BRT II,Columbus BRT II,HDR,534-02,"Bus Rapid Transit, Transit, 3D"
534-03_Columbus BRT Additional,Columbus BRT Additional,HDR,534-03,"Bus Rapid Transit, Transit, 3D"
535-01_College Park,College Park,American Campus Communities Inc,535-01,"Residential, Architecture, 3D"
536-01_CT Fastrak 3D Animation,CT Fastrak 3D Animation,Quest Corporation of America,536-01,"Bus Rapid Transit, Transit, 3D"
536-02_CTfastrak Video Update - Replace Buckland Hills,CTfastrak Video Update - Replace Buckland Hills,Quest Corporation of America,536-02,"Bus Rapid Transit, Transit, 3D"
537-01_Mid-Coast LRT,Mid-Coast LRT,Skanska USA Civil West CA,537-01,"Light Rail, Transit, Construction, 3D"
538-01_CalTrain,CalTrain,Singer Associates Inc.,538-01,"Commuter Rail, Transit, 3D"
539-01_PSU Business School,PSU Business School,Skanska,539-01,"Construction, 3D"
540-01_Memphis Airport 3D Walkthrough,Memphis Airport 3D Walkthrough,Architectural Alliance,540-01,"Architecture, 3D"
541-01_I-395 Miami Bridge,I-395 Miami Bridge,TYLIN International,541-01,"Bridges, 3D"
541-02_I-395 Miami Updates,I-395 Miami Updates,TYLIN International,541-02,"Bridges, 3D"
542-01_Cleveland BRT Bus,Cleveland BRT Bus,,542-01,
543-01_Street of Dreams,Street of Dreams,JT Smith Companies,543-01,"Residential, Architecture, 3D"
544-01_University of Washington ARCF,University of Washington ARCF,Skanska,544-01,"Construction, 3D"
545-01_Anchorage DDI 3D Animation,Anchorage DDI 3D Animation,DOWL HKM,545-01,"DDI, Highways, 3D"
545-02_Anchorage DDI Additional Services,Anchorage DDI Additional Services,DOWL HKM,545-02,"DDI, Highways, 3D"
545-03_Anchorage DDI Model Updates,Anchorage DDI Model Updates,DOWL HKM,545-03,"DDI, Highways, 3D"
545-04_Anchorage DDI Model Export,Anchorage DDI Model Export,DOWL HKM,545-04,"DDI, Export, 3D"
546-01_OES Lower School 3D Animations,OES Lower School 3D Animations,Skanska,546-01,"Construction, 3D"
547-01_San Antonio Streetcar,San Antonio Streetcar,VIA Metropolitan Transit,547-01,"Streetcar, Transit, 3D"
547-02_Via-San Antonio Transit Future,Via-San Antonio Transit Future,HNTB Corporation,547-02,"Bus Rapid Transit, Transit, 3D"
547-04_VIA ART Video Update,Via ART Video Update,HNTB Corporation,547-04,"Bus Rapid Transit, Transit, 3D"
547-05_ART Video Update Additional,ART Video Update Additional,HNTB CORPORATION for VIA,547-05,"Bus Rapid Transit, Transit, 3D"
548-01_I-5 Broadway/Weidler,I-5 Broadway/Weidler,URS Corporation,548-01,"Bike, Highways, 3D"
548-02,,,,
548-02_I5RQ,I5RQ,AECOM,548-02,"Highways, 3D"
548-03 I5RQ Video,548-03 I5RQ Video,AECOM Technology,,"Highways, 3D"
548-03_I5RQ Out of Scope,I5RQ Out of Scope,AECOM,548-03,"Highways, 3D"
548-04_I5RQ Interactive Build,I5RQ Interactive Build,AECOM,548-04,"Highways, 3D"
548-05_I5RQ Video,I5RQ Video,AECOM,548-05,"Highways, 3D"
548-06 I5RQ Lids Video,I5RQ Lids Video,Sundt,,"Highways, 3D"
549-01_160 Ross Auburn,160 Ross Auburn,American Campus Communities Inc,549-01,"Residential, Architecture, 3D"
550-01_U Club Woodward Phase II,U Club Woodward Phase II,American Campus Communities Inc,550-01,"Residential, Architecture, 3D"
551-01_2125 Franklin,2125 Franklin,American Campus Communities Inc,551-01,"Residential, Architecture, 3D"
551-02_2125 Franklin - Update,2125 Franklin - Update,American Campus Communities Inc,551-02,"Residential, Architecture, 3D"
552-01_Boulder City Bypass,Boulder City Bypass,Skanska USA Civil West CA,552-01,"Construction, 3D"
553-01_Elon Communications Building Phase II,Elon Communications Building Phase II,Robert A.M. Stern Architects LLP,553-01,"Institutional, Architecture, 3D"
553-02_Elon Communications Building Update,Elon Communications Building Update,Elon University,553-02,"Institutional, Architecture, 3D"
554-01_NBSL,NBSL,TYLIN International,554-01,"Bridges, 3D"
554-02_NBSL Final Design,NBSL Final Design,TYLIN International,554-02,"Bridges, 3D"
554-03_NBSL Highway Additional HEJV,NBSL Highway Additional HEJV,TYLIN International,554-03,"Bridges, 3D"
554-04_NBSL TQ - IDS 4th Lane,NBSL TQ - IDS 4th Lane,TYLIN International,554-04,"Bridges, 3D"
554-04_NBSL TQ Renderings,NBSL TQ Renderings,TYLIN International,554-04,"Bridges, 3D"
554-05_NBSL Bridge Additional BEJV,NBSL Bridge Additional BEJV,TYLIN International,554-05,"Bridges, 3D"
554-07_NBSL Field Design Changes FDC,NBSL Field Design Changes FDC,TYLIN International,554-07,"Bridges, 3D"
554-08_Pier W01 Renderings,Pier W01 Renderings,SSLC-Signature sur le Saint-Laurent Constrution,554-08,"Bridges, 3D"
554-99_NBSL Non-Billable,NBSL Non-Billable,TYLIN International,554-99,"Bridges, 3D"
555-01_Texas Corpus Christy,Texas Corpus Christy,American Campus Communities Inc,555-01,"Residential, Architecture, 3D"
556-01_SFOBB West Span Bike Path,SFOBB West Span Bike Path,TYLIN International,556-01,"Bridges, 3D"
557-01_South Medford Viaduct,South Medford Viaduct,Kittelson & Associates Inc,557-01,"Highways, 3D"
557-02_Medford Viaduct,Medford Viaduct,Kittelson & Associates Inc,557-02,"Highways, 3D"
558-01_L'Enfant Plaza,L'Enfant Plaza,"ZGF Architects,The JBG Companies",558-01,"Commercial, Architecture, 3D"
558-02_L'Enfant Plaza Updates,L'Enfant Plaza Updates,"ZGF Architects,The JBG Companies",558-02,"Commercial, Architecture, 3D"
558-03_L'Enfant Plaza Signage,L'Enfant Plaza Signage,The JBG Companies,558-03,"Commercial, Architecture, 3D"
558-03_L'Enfant Signage,L'Enfant Signage,The JBG Companies,558-03,"Commercial, Architecture, 3D"
559-01_Barton Road,Barton Road,Skanska USA Civil West CA,559-01,"Construction, 3D"
560-01_QEW Evans to Cawthra EA,QEW Evans to Cawthra EA,MMM Group,560-01,"Bike, Highways, 3D"
560-02_QEW Vive,QEW Vive,Intel Corporation,560-02,
561-01_Midland Library Doors,Midland Library Doors,Multnomah County Financial Hub,561-01,"Architecture, 3D"
562-01_456 North 5th,456 North 5th,ZGF Architects,562-01,"Commercial, Architecture, 3D"
562-01_456 North 5th Updates,456 North 5th Updates,ZGF Architects,562-01,"Commercial, Architecture, 3D"
563-01_Oregonian Building,Oregonian Building,Urban Renaissance Group,563-01,"City Model, Architecture, 3D"
563-02_Oregonian Building 3D Animation,Oregonian Building 3D Animation,Urban Renaissance Group,563-02,"City Model, Architecture, 3D"
564-01_CalTrain PTC,CalTrain PTC,Parsons Transportation Group Inc.,564-01,"Commuter Rail, Transit, 3D"
565-01_Kramer Junction,Kramer Junction,Skanska USA Civil West CA,565-01,"Construction, 3D"
566-01_University Crossing - ACC,University Crossing - ACC,American Campus Communities Inc,566-01,"Residential, Architecture, 3D"
567-01_Rail Transit Video Update,Rail Transit Video Update,AECOM,567-01,"Light Rail, Transit, 3D"
568-01_WSU Interior,WSU Interior,Skanska,568-01,"Residential, Architecture, 3D"
569-01_Mobile AL,"I-10 Mobile, Al Proposal",Volkert Inc.,569-01,"Bridges, 3D"
570-01_Project NEON HOV Ramps,Project NEON HOV Ramps,Skanska USA Civil West CA,570-01,"Highways, Construction, 3D"
570-02_Project NEON Charleston,Project NEON Charleston,Skanska USA Civil West CA,570-02,"Highways, Construction, 3D"
571-01_ACC USC,ACC USC,American Campus Communities Inc,571-01,"Residential, Architecture, 3D"
571-02_ACC Louisville,ACC Louisville,American Campus Communities Inc,571-02,"Residential, Architecture, 3D"
571-03_ACC Sunnyside,ACC Sunnyside,American Campus Communities Inc,571-03,"Residential, Architecture, 3D"
571-04_ACC NEIU,ACC NEIU,American Campus Communities Inc,571-04,"Residential, Architecture, 3D"
571-05_Boulder,Boulder,American Campus Communities Inc,571-05,"Residential, Architecture, 3D"
571-32_ACC Sunnyside II,ACC Sunnyside II,American Campus Communities Inc,571-32,"Residential, Architecture, 3D"
573-01_CHSR BF-PD BFFSA,CHSR BF-PD BFFSA,TYLIN International,573-01,"High Speed Rail, Transit, 3D"
573-02_CHSR_BP Historic Impacts,CHSR_BP Historic Impacts,TYLIN International,573-02,"High Speed Rail, Transit, 3D"
574-02_CHSR Bakersfield to Palmdale,CHSR Bakersfield to Palmdale,"TYLIN International,LSA",574-02,"High Speed Rail, Transit, 3D"
574-03_CHSR BF-PD Cassie Court,CHSR BF-PD Cassie Court,"TYLIN International,LSA",574-03,"High Speed Rail, Transit, 3D"
574-17_CHSR BP Additional Services,CHSR BP Additional Services,"TYLIN International,LSA",574-17,"High Speed Rail, Transit, 3D"
574-18_CHSR Chavez Center Updates,CHSR Chavez Center Updates,TYLIN International,574-18,"High Speed Rail, Transit, 3D"
574-19_CHSR Chavez Updates II,574-19 CHSR Chavez Updates II,TYLIN International,574-19,"High Speed Rail, Transit, 3D"
574-20_Chavez Updates III,Chavez,TYLIN International,574-20,"High Speed Rail, Transit, 3D"
574-21_BF-PD Flyover,Flyover Open Houses,TYLIN International,574-21,"Commuter Rail, Transit, 3D"
574-22_ CHSR Sim Update,Willow Springs Road Update,TYLIN International,574-22,"High Speed Rail, Transit, 3D"
574-23_CalPortland Flyover,CalPortland Flyover,TYLIN International,574-23,"High Speed Rail, Transit, 3D"
574-24_Corridor Flyover,Corridor Flyover,TYLIN International,574-24,"HSR, 3D"
575-01_Butler 3D Animation,Butler 3D Animation,American Campus Communities Inc,575-01,"Residential, Architecture, 3D"
576-01_Old Town Urban Design,Old Town Urban Design,SRM Architecture,576-01,"City Model, Urban Design, 3D"
578-01_Yeon Building - Spin,Yeon Building - Spin,Urban Renaissance Group,578-01,"Residential, Architecture, 3D"
578-02_Yeon Building - Interiors,Yeon Building - Interiors,Urban Renaissance Group,578-02,"Commercial, 3D"
579-01_Fluor Kazhakstan 57051T15,Fluor Kazhakstan 57051T15,Via Language,579-01,"Post Production, 3D"
580-01_Apex Honeycomb,Apex Honeycomb,Apex Biomedical,580-01,"Industrial Design, 3D"
581-01_Warriors Stadium Animation,Warriors Stadium Animation,Singer Associates Inc.,581-01,"Urban Design, 3D"
582-01_Port Arthur LNG,Port Arthur LNG,Sempra LNG,582-01,"LNG, Energy, 3D"
582-03_Port Arthur LNG Update,Port Arthur LNG Update,Sempra LNG,582-03,"LNG, Energy, 3D"
582-04_Port Arthur LNG Video,Port Arthur LNG Video,Sempra LNG,582-04,"LNG, 3D"
582-05_PALNG,PALNG,Sempra LNG,582-05,"LNG, Energy, 3D"
